Unnamed: 0,question,answer,Question_Sentiment,Answer_Sentiment
182,have you met the new girl?,no. have you?,0.13636363636363635,0.0
183,no. have you?,she's one of the prettiest girls at the school.,0.0,0.0
184,she's one of the prettiest girls at the school.,what does she look like?,0.0,0.0
185,what does she look like?,"well, she's quite short.",0.0,0.0
186,"well, she's quite short.",how tall would you say that she is?,0.0,0.0
187,how tall would you say that she is?,i would say she's only five feet.,0.0,0.0
188,i would say she's only five feet.,what about her facial features?,0.0,0.0
189,what about her facial features?,"she has light brown eyes, absolutely beautiful.",0.0,0.625
190,"she has light brown eyes, absolutely beautiful.",i think i know who you're talking about.,0.625,0.0
191,i think i know who you're talking about.,have you seen her?,0.0,0.0
192,why weren't you at school yesterday?,i wasn't really feeling well.,0.0,0.2
193,i wasn't really feeling well.,what was wrong with you?,0.2,-0.5
194,what was wrong with you?,my stomach was upset.,-0.5,0.0
195,my stomach was upset.,do you feel better now?,0.0,0.5
196,do you feel better now?,i don't really feel too well yet.,0.5,0.2
197,i don't really feel too well yet.,do you want anything to make you feel better?,0.2,0.5
198,do you want anything to make you feel better?,"no, thanks. i already took some medicine.",0.5,-0.1
199,"no, thanks. i already took some medicine.",i hope you feel better.,-0.1,0.5
200,i hope you feel better.,thank you.,0.5,0.0
201,what reason do you have for missing school?,i was sick.,-0.2,-0.7142857142857143
202,i was sick.,how were you sick?,-0.7142857142857143,-0.7142857142857143
203,how were you sick?,i had a stomachache.,-0.7142857142857143,0.0
204,i had a stomachache.,did it get any better?,0.0,0.5
205,did it get any better?,i'm still feeling under the weather.,0.5,0.0
206,i'm still feeling under the weather.,would you like anything for your stomach?,0.0,0.0
207,would you like anything for your stomach?,i took something earlier.,0.0,0.0
208,i took something earlier.,get better.,0.0,0.5
209,get better.,thanks a lot.,0.5,0.2
210,why didn't you go to school yesterday?,i stayed home because i wasn't feeling well.,0.0,0.0
211,i stayed home because i wasn't feeling well.,what was your problem?,0.0,0.0
212,what was your problem?,my stomach was bothering me.,0.0,0.0
213,my stomach was bothering me.,are you feeling any better?,0.0,0.5
214,are you feeling any better?,i'm still feeling a little sick.,0.5,-0.45089285714285715
215,i'm still feeling a little sick.,"i'm going to the store, would you like any pepto bismol?",-0.45089285714285715,0.0
216,"i'm going to the store, would you like any pepto bismol?",that's okay.,0.0,0.5
217,that's okay.,i hope you feel better.,0.5,0.5
218,did you hear the good news?,"no, i haven't.",0.7,0.0
219,"no, i haven't.",i got a promotion at my job.,0.0,0.0
220,i got a promotion at my job.,did you really?,0.0,0.2
221,did you really?,"seriously, i am so excited.",0.2,0.375
222,"seriously, i am so excited.","well, congratulations.",0.375,0.0
223,"well, congratulations.",thank you.,0.0,0.0
224,thank you.,i'm so happy for you.,0.0,0.8
225,i'm so happy for you.,really?,0.8,0.2
226,really?,yes. you really deserved this.,0.2,0.2
227,yes. you really deserved this.,you think so?,0.2,0.0
228,you think so?,yes. good for you.,0.0,0.7
229,have you heard my good news?,you haven't told me anything yet.,0.7,0.0
230,you haven't told me anything yet.,i got a promotion at work earlier this week.,0.0,0.0
231,i got a promotion at work earlier this week.,is that right?,0.0,0.2857142857142857
232,is that right?,it's the truth. i am really happy.,0.2857142857142857,0.8
233,it's the truth. i am really happy.,congratulations on your promotion.,0.8,0.0
234,congratulations on your promotion.,thank you very much.,0.0,0.26
235,thank you very much.,i am really excited for you.,0.26,0.375
236,i am really excited for you.,are you really?,0.375,0.2
237,are you really?,i'm serious. you deserved this promotion.,0.2,-0.3333333333333333
238,i'm serious. you deserved this promotion.,is that what you really think?,-0.3333333333333333,0.2
239,is that what you really think?,"yes, i do.",0.2,0.0
240,"i haven't told you what happened yet, have i?",i haven't heard anything.,0.0,0.0
241,i haven't heard anything.,"my boss offered me a promotion, and i took it.",0.0,0.0
242,"my boss offered me a promotion, and i took it.",are you serious?,0.0,-0.3333333333333333
243,are you serious?,"yes, i am really excited.",-0.3333333333333333,0.375
244,"yes, i am really excited.",that's great. congratulations.,0.375,0.8
245,that's great. congratulations.,i appreciate that.,0.8,0.0
246,i appreciate that.,you have no idea how happy i am for you.,0.0,0.8
247,you have no idea how happy i am for you.,for real?,0.8,0.2
248,you look really nice today. ,thank you. i just got this outfit the other day.,0.6,-0.125
249,thank you. i just got this outfit the other day.,"really, where did you get it?",-0.125,0.2
250,"really, where did you get it?",i got it from macy's.,0.2,0.0
251,i got it from macy's.,it's really nice.,0.0,0.6
252,it's really nice.,"thanks again. you look nice today, too.",0.6,0.4
253,"thanks again. you look nice today, too.",thank you. i just got these shoes today.,0.4,0.0
254,thank you. i just got these shoes today.,really? what kind of shoes are they?,0.0,0.4
255,really? what kind of shoes are they?,these are called all star chuck taylors.,0.4,0.0
256,these are called all star chuck taylors.,i really like those. how much did they cost?,0.0,0.2
257,i really like those. how much did they cost?,they were about forty dollars.,0.2,0.0
258,they were about forty dollars.,i think i'm going to go buy myself a pair.,0.0,0.0
259,i absolutely love what you're wearing today.,you do? i just bought this outfit a couple days ago.,0.5,0.0
260,you do? i just bought this outfit a couple days ago.,"seriously, it looks really nice on you. where did you buy it from?",0.0,0.13333333333333333
261,"seriously, it looks really nice on you. where did you buy it from?",i bought it from the macy's at the santa anita mall.,0.13333333333333333,0.0
262,i bought it from the macy's at the santa anita mall.,i really like that outfit.,0.0,0.2
263,i really like that outfit.,"thanks. i think you look nice today, too.",0.2,0.4
264,"thanks. i think you look nice today, too.",thank you. i just bought these new shoes earlier today.,0.4,0.06818181818181818
265,thank you. i just bought these new shoes earlier today.,those are nice. what are they?,0.06818181818181818,0.6
266,those are nice. what are they?,these are some chucks.,0.6,0.0
267,these are some chucks.,those are great. how much were they?,0.0,0.5
268,those are great. how much were they?,i got them for forty.,0.5,0.0
269,i got them for forty.,i think i might go and find me my own pair of chucks.,0.0,0.6
270,i think that you look very cute today.,is that right? this is a brand new outfit.,0.65,0.21103896103896103
271,is that right? this is a brand new outfit.,what store did you get it from?,0.21103896103896103,0.0
272,what store did you get it from?,i went to macy's and picked it out.,0.0,0.0
273,i went to macy's and picked it out.,i love your outfit right now.,0.0,0.39285714285714285
274,i love your outfit right now.,"well, i think you look nice today too.",0.39285714285714285,0.6
275,"well, i think you look nice today too.",thanks. i found these new shoes earlier at the store.,0.6,0.11212121212121212
276,thanks. i found these new shoes earlier at the store.,i think that those are some really nice shoes. what kind are they?,0.11212121212121212,0.6
277,i think that those are some really nice shoes. what kind are they?,these are chucks.,0.6,0.0
278,these are chucks.,your shoes look really nice. how much did you get them for?,0.0,0.4
279,your shoes look really nice. how much did you get them for?,they only cost me about forty dollars.,0.4,0.0
280,"tell me, what do you enjoy doing in your spare time?",i enjoy drawing and painting.,0.4,0.4
281,i enjoy drawing and painting.,you know how to draw and paint?,0.4,0.0
282,you know how to draw and paint?,"yes, i do.",0.0,0.0
283,"yes, i do.",when did you learn how to do that?,0.0,0.0
284,when did you learn how to do that?,i learned back in high school.,0.0,0.08
285,i learned back in high school.,"oh, so you took an art class?",0.08,0.0
286,"oh, so you took an art class?","yeah, i loved that class.",0.0,0.7
287,"yeah, i loved that class.",i see that you're pretty talented.,0.7,0.475
288,i see that you're pretty talented.,thank you very much.,0.475,0.26
289,thank you very much.,i wish i had a talent like that.,0.26,0.0
290,i wish i had a talent like that.,i'm sure you have a talent. it's just hidden.,0.0,0.16666666666666669
291,what kinds of things do you like to do?,i've always liked to draw and paint.,0.0,0.6
292,i've always liked to draw and paint.,i didn't know you knew how to draw and paint.,0.6,0.0
293,i didn't know you knew how to draw and paint.,i do it every once in a while.,0.0,0.0
294,i do it every once in a while.,how long have you known how to do that?,0.0,-0.05
295,how long have you known how to do that?,i first learned how to do it in high school.,-0.05,0.20500000000000002
296,i first learned how to do it in high school.,did you take some sort of art class or something?,0.20500000000000002,0.0
297,did you take some sort of art class or something?,that was my favorite class.,0.0,0.5
298,that was my favorite class.,you have got to be talented.,0.5,0.7
299,you have got to be talented.,thanks.,0.7,0.2
300,thanks.,if only i was talented.,0.2,0.35
301,if only i was talented.,you have a talent. you just don't know what it is yet.,0.35,0.0
302,are there any hobbies you do?,"when i have time, i sometimes draw and paint.",0.0,0.0
303,"when i have time, i sometimes draw and paint.","oh, you actually do that?",0.0,0.0
304,"oh, you actually do that?","every so often, i do.",0.0,0.0
305,"every so often, i do.",did you always know how to draw and paint?,0.0,0.0
306,did you always know how to draw and paint?,i was taught in high school how to draw and paint.,0.0,0.16
307,i was taught in high school how to draw and paint.,you had an art class?,0.16,0.0
308,you had an art class?,"exactly, it was my favorite class.",0.0,0.375
309,"exactly, it was my favorite class.","well, it's good that you're so talented.",0.375,0.7
310,"well, it's good that you're so talented.",i appreciate that.,0.7,0.0
311,i appreciate that.,"talent is a great thing, i wish i had one.",0.0,0.8
312,what's your favorite movie?,my favorite movie is superbad.,0.5,0.5
313,my favorite movie is superbad.,"oh, why is that?",0.5,0.0
314,"oh, why is that?",it's the funniest movie that i've ever seen.,0.0,0.0
315,it's the funniest movie that i've ever seen.,that's true. it is a very funny movie.,0.0,0.3375
316,that's true. it is a very funny movie.,you've seen it before? ,0.3375,0.0
317,you've seen it before? ,"yes, i saw that movie the first day it came out in theaters.",0.0,0.25
318,"yes, i saw that movie the first day it came out in theaters.",didn't you laugh through the whole movie? i did.,0.25,0.25
319,didn't you laugh through the whole movie? i did.,me too. that movie brought tears to my eyes.,0.25,0.0
320,me too. that movie brought tears to my eyes.,mine too.,0.0,0.0
321,mine too.,i have it on dvd at my house if you want to come over and watch it.,0.0,0.0
322,i have it on dvd at my house if you want to come over and watch it.,"sure, let's go.",0.0,0.5
323,which movie is your favorite to watch?,"i have to say, my favorite movie is superbad.",0.5,0.5
324,"i have to say, my favorite movie is superbad.",is that right? why?,0.5,0.2857142857142857
325,is that right? why?,"honestly, it is one of the funniest movies i've seen in a long time.",0.2857142857142857,0.27499999999999997
326,"honestly, it is one of the funniest movies i've seen in a long time.",you're right. that movie is hilarious.,0.27499999999999997,0.39285714285714285
327,you're right. that movie is hilarious.,i didn't think you saw that movie.,0.39285714285714285,0.0
328,i didn't think you saw that movie.,i went to see it the day it came out.,0.0,0.0
329,i went to see it the day it came out.,i was laughing through the whole movie.,0.0,0.2
330,i was laughing through the whole movie.,"i couldn't help laughing, either. ",0.2,0.0
331,"i couldn't help laughing, either. ",same here.,0.0,0.0
332,same here.,i bought the movie. would you like to come to my house and watch it?,0.0,0.0
333,i bought the movie. would you like to come to my house and watch it?,of course.,0.0,0.0
334,"out of every movie that you've seen, which one is your favorite?",i'm going to have to say that superbad is the best movie ever.,0.5,1.0
335,i'm going to have to say that superbad is the best movie ever.,"you think so, how come?",1.0,0.0
336,"you think so, how come?","well, superbad is super funny.",0.0,0.29166666666666663
337,"well, superbad is super funny.","you're not lying, i found that movie absolutely hilarious.",0.29166666666666663,0.5
338,"you're not lying, i found that movie absolutely hilarious.",i didn't know that you saw superbad before.,0.5,0.0
339,i didn't know that you saw superbad before.,i made sure to be in line to see it the first day it came out.,0.0,0.375
340,i made sure to be in line to see it the first day it came out.,i couldn't keep from laughing throughout the whole movie.,0.375,0.2
341,i couldn't keep from laughing throughout the whole movie.,i was laughing hysterically the whole time; my stomach muscles hurt afterwards.,0.2,-0.4
342,i was laughing hysterically the whole time; my stomach muscles hurt afterwards.,that's exactly how i felt.,-0.4,0.25
343,that's exactly how i felt.,"i got the movie when it came out on dvd, do you want to come over?",0.25,0.0
344,what type of music do you like to listen to?,i like listening to different kinds of music.,0.0,0.0
345,i like listening to different kinds of music.,"like what, for instance?",0.0,0.0
346,"like what, for instance?",i enjoy rock and r&b.,0.0,0.4
347,i enjoy rock and r&b.,why is that?,0.4,0.0
348,why is that?,i like the different instruments that they use.,0.0,0.0
349,i like the different instruments that they use.,that's a good reason to like something.,0.0,0.7
350,that's a good reason to like something.,"yeah, i think so too.",0.7,0.0
351,what kind of music do you enjoy listening to?,i enjoy listening to all kinds of music.,0.5,0.4
352,i enjoy listening to all kinds of music.,what kind?,0.4,0.6
353,what kind?,i like to listen to rock and r&b.,0.6,0.0
354,i like to listen to rock and r&b.,why do you like that type of music?,0.0,0.0
355,why do you like that type of music?,i like the kinds of instruments that they use.,0.0,0.0
356,i like the kinds of instruments that they use.,i think that's an excellent reason to like something.,0.0,1.0
357,i think that's an excellent reason to like something.,"thanks, i feel the same way.",1.0,0.1
358,what is your favorite kind of music?,i listen to various types of music.,0.55,0.0
359,i listen to various types of music.,what genres?,0.0,0.0
360,what genres?,i enjoy listening to both rock and r&b.,0.0,0.4
361,i enjoy listening to both rock and r&b.,what interests you in that type of music?,0.4,0.0
362,what interests you in that type of music?,i enjoy the different types of instruments that they use.,0.0,0.2
363,i enjoy the different types of instruments that they use.,that is a perfect reason to like a certain kind of music.,0.2,0.6047619047619047
364,did you go to the basketball game on friday?,"no, i couldn't make it.",-0.4,0.0
365,"no, i couldn't make it.",you missed a really good game.,0.0,0.14999999999999997
366,you missed a really good game.,"oh, really? who won?",0.14999999999999997,0.2
367,"oh, really? who won?",our school did. they played really well.,0.2,0.2
368,our school did. they played really well.,too bad i was busy. i really wanted to go.,0.2,-0.13333333333333328
369,too bad i was busy. i really wanted to go.,"yeah, you should have. it was really exciting.",-0.13333333333333328,0.3
370,"yeah, you should have. it was really exciting.",so what was the score?,0.3,0.0
371,so what was the score?,the score was 101-98.,0.0,0.0
372,the score was 101-98.,"man, that was a really close game.",0.0,-0.1
373,"man, that was a really close game.",that's what made it so great.,-0.1,0.8
374,that's what made it so great.,i'll make sure and make it to the next one.,0.8,0.25
375,were you able to attend friday night's basketball game?,i was unable to make it.,0.04999999999999999,-0.5
376,i was unable to make it.,you should have been there. it was intense.,-0.5,0.2
377,you should have been there. it was intense.,is that right. who ended up winning?,0.2,0.39285714285714285
378,is that right. who ended up winning?,our team was victorious.,0.39285714285714285,0.0
379,our team was victorious.,i wish i was free that night. i'm kind of mad that i didn't go.,0.0,0.125
380,i wish i was free that night. i'm kind of mad that i didn't go.,it was a great game.,0.125,0.2
